CED_Name,CED_Number,vote_yes,pop,females,first_nations_pop,born_overseas,completed_highschool,median_age,age_over_65,median_monthly_mortgage_repayment,median_income_personal,median_income_family,median_income_household,median_rent,avg_household_size,married,divorced,never_married,unemployment,bachelors_degree,postgrad_degree,christian,hinduism,islam,judaism,no_religion
Banks,CED101, 70.1 ,155806,80026,1287,60637,76872,38,25089,2167,644,1837,1598,420,2.8,66926,9819,40569,6.2,22904,8331,86544,4912,7551,181,37704
Barton,CED102, 62.0 ,172850,87129,1208,84998,92904,35,24690,2167,637,1730,1601,462,2.8,71666,10057,52569,6.6,28880,11694,80990,8751,13186,264,44155
Bennelong,CED103, 70.5 ,168948,86580,641,80491,101104,36,24218,2207,724,2104,1817,462,2.7,74118,8443,48571,6.4,35865,17086,83378,6945,3890,426,52814
Berowra,CED104, 44.9 ,145136,73835,751,46976,77306,41,24658,2500,793,2460,2256,532,3,70010,6671,32587,4.4,27250,10983,83437,4632,1741,286,39673
Blaxland,CED105, 52.3 ,174634,85554,1011,86509,74572,32,21089,1950,462,1285,1222,390,3.2,70838,10722,44360,10.2,17322,5452,63212,5167,50997,38,23609
Bradfield,CED106, 43.6 ,160255,83302,350,68457,97835,40,27301,2800,893,2706,2341,550,2.9,76895,7036,35452,5,38836,17938,79196,4970,1741,3430,51856
Calare,CED107, 61.7 ,161298,80662,10120,13335,47568,40,29894,1560,607,1531,1207,250,2.5,60788,11904,43623,6.3,12812,2919,105615,585,438,50,34935
Chifley,CED108, 71.2 ,171249,86738,6928,70419,67250,33,18659,1960,596,1575,1477,350,3.2,63793,8946,47798,8.6,17287,5124,99860,11970,14170,38,25038
Cook,CED109, 68.7 ,139062,71568,1387,30702,63940,41,26232,2500,812,2215,1805,450,2.6,58709,9796,35407,3.8,19229,5390,92398,917,2002,237,30656
Cowper,CED110, 49.8 ,159321,82275,9791,18560,46931,47,39486,1517,526,1257,1000,290,2.3,60636,15799,39656,7.5,12997,2628,92959,426,502,132,46414
Cunningham,CED111, 54.6 ,155380,78513,3452,34737,64069,39,26988,2000,600,1801,1372,330,2.5,59200,10908,46587,7,19367,7438,89492,1158,3418,102,45851
Dobell,CED112, 60.0 ,154067,79629,6705,20217,46706,41,30309,1733,592,1542,1268,340,2.6,56358,13451,40309,7,10956,2311,96285,494,493,125,41893
Eden-Monaro,CED113, 26.1 ,147532,73764,4711,19972,55008,43,27641,1733,709,1743,1349,255,2.4,60541,11873,37438,4.2,14563,4749,83692,809,801,111,44358
Farrer,CED114, 62.0 ,163980,82797,6856,16215,45523,42,33040,1300,613,1442,1149,200,2.4,65888,11279,41535,5.5,11546,2070,103733,1542,923,47,38151
Fowler,CED115, 68.5 ,164235,83295,1333,87105,65614,36,22000,1733,452,1275,1212,334,3.2,64147,11971,44163,10.5,13305,2817,77607,3408,10443,20,21824
Gilmore,CED116, 62.1 ,150436,76266,7495,19696,45977,49,40148,1517,535,1278,1038,280,2.3,63902,13520,34696,6.4,12203,3198,88245,304,243,119,44755
Grayndler,CED117, 54.0 ,149513,76684,1693,49480,88458,36,17870,2600,997,2592,2093,485,2.4,48874,10729,58893,4.6,34598,15071,59549,3393,1728,655,62178
Greenway,CED118, 60.6 ,170067,84650,2543,69511,79069,34,16847,2200,747,2052,1941,410,3.1,74562,8493,39689,6.2,23962,9688,89724,20647,8304,110,26580
Hughes,CED119, 67.1 ,144289,73218,1792,28969,64575,38,20723,2383,828,2300,2088,445,2.9,64223,7905,34104,3.7,19005,5799,94974,2353,2277,135,33484
